FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LSTAR_rndWalk_MQ_SYM,LSTAR_rndWalk_MQ_RST,LSTAR_rndWalk_EQ_SYM,LSTAR_rndWalk_EQ_RST,LSTAR_rndWalk_TOTAL_SYM,LSTAR_rndWalk_TOTAL_RST,LSTAR_rndWalk_EQs,LSTAR_wp_MQ_SYM,LSTAR_wp_MQ_RST,LSTAR_wp_EQ_SYM,LSTAR_wp_EQ_RST,LSTAR_wp_TOTAL_SYM,LSTAR_wp_TOTAL_RST,LSTAR_wp_EQs,LIP_wp_rndWalk_MQ_SYM,LIP_wp_rndWalk_MQ_RST,LIP_wp_rndWalk_EQ_SYM,LIP_wp_rndWalk_EQ_RST,LIP_wp_rndWalk_TOTAL_SYM,LIP_wp_rndWalk_TOTAL_RST,LIP_wp_rndWalk_EQs,LIP_wp_rndWalk_COMPONENTS,LIP_wp_rndWalk_ROUNDS,LIP_wp_rndWords_MQ_SYM,LIP_wp_rndWords_MQ_RST,LIP_wp_rndWords_EQ_SYM,LIP_wp_rndWords_EQ_RST,LIP_wp_rndWords_TOTAL_SYM,LIP_wp_rndWords_TOTAL_RST,LIP_wp_rndWords_EQs,LIP_wp_rndWords_COMPONENTS,LIP_wp_rndWords_ROUNDS,LIP_rndWalk_rndWalk_MQ_SYM,LIP_rndWalk_rndWalk_MQ_RST,LIP_rndWalk_rndWalk_EQ_SYM,LIP_rndWalk_rndWalk_EQ_RST,LIP_rndWalk_rndWalk_TOTAL_SYM,LIP_rndWalk_rndWalk_TOTAL_RST,LIP_rndWalk_rndWalk_EQs,LIP_rndWalk_rndWalk_COMPONENTS,LIP_rndWalk_rndWalk_ROUNDS,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS,LIP_wp_wp_MQ_SYM,LIP_wp_wp_MQ_RST,LIP_wp_wp_EQ_SYM,LIP_wp_wp_EQ_RST,LIP_wp_wp_TOTAL_SYM,LIP_wp_wp_TOTAL_RST,LIP_wp_wp_EQs,LIP_wp_wp_COMPONENTS,LIP_wp_wp_ROUNDS,CACHE,
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_9.txt","64","14","62734","12558","10000","100","72734","12658","1",,,,,,,,"62734","12558","7711513","1101180","7774247","1113738","1","640","227","7727614","1102777","7728254","1103004","32","5","10","640","227","7808712","1103172","7809352","1103399","32","5","10",,,,,,,,,,"2655","348","102300","1023","104955","1371","32","5","10",,,,,,,,,,"true","64"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_1.txt","64","10","32010","6410","10000","100","42010","6510","1",,,,,,,,"32010","6410","2164502","309365","2196512","315775","1","297","109","2174237","310263","2174534","310372","22","4","7","297","109","2228445","310558","2228742","310667","22","4","7",,,,,,,,,,"642","159","71600","716","72242","875","22","4","7",,,,,,,,,,"true","64"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_6.txt","64","12","46092","9228","10000","100","56092","9328","1",,,,,,,,"46092","9228","4647522","664467","4693614","673695","1","185","77","4655520","664896","4655705","664973","24","6","7","185","77","4709628","665245","4709813","665322","24","6","7",,,,,,,,,,"1453","192","71800","718","73253","910","24","6","7",,,,,,,,,,"true","64"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_20.txt","72","13","62881","12181","10000","100","72881","12281","1",,,,,,,,"62881","12181","5273718","738466","5336599","750647","1","939","291","5283932","739037","5284871","739328","31","4","10","939","291","5365379","739415","5366318","739706","31","4","10",,,,,,,,,,"3271","434","102200","1022","105471","1456","31","4","10",,,,,,,,,,"true","72"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_12.txt","78","16","3144174","78096","12500","125","3156674","78221","3",,,,,,,,"157942","23470","16069870","1912816","16227812","1936286","3","2384336","87551","15346840","1817329","17731176","1904880","63","1","21","2736150","53373","15457768","1817637","18193918","1871010","46","3","14",,,,,,,,,,"4099108","79471","147000","1470","4246108","80941","50","3","14",,,,,,,,,,"true","78"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_13.txt","84","16","137232","21520","10000","100","147232","21620","1",,,,,,,,"137232","21520","17094414","2075408","17231646","2096928","1","3005","681","17116453","2077343","17119458","2078024","40","4","13","3005","681","17224649","2077790","17227654","2078471","40","4","13",,,,,,,,,,"15282","1204","133300","1333","148582","2537","40","4","13",,,,,,,,,,"true","84"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_16.txt","96","15","2814013","73640","10200","102","2824213","73742","3",,,,,,,,"173794","25317","16091466","1869562","16265260","1894879","3","1760884","80175","16029726","1858874","17790610","1939049","61","1","21","2744427","54643","16129842","1859028","18874269","1913671","43","3","13",,,,,,,,,,"2653146","53232","134100","1341","2787246","54573","44","3","13",,,,,,,,,,"true","96"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_16.txt","96","15","111615","21615","10000","100","121615","21715","1",,,,,,,,"111615","21615","14602363","2038910","14713978","2060525","1","716","254","14622156","2041052","14622872","2041306","35","5","11","716","254","14712319","2041514","14713035","2041768","35","5","11",,,,,,,,,,"5616","416","112500","1125","118116","1541","35","5","11",,,,,,,,,,"true","96"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_20.txt","112","13","151775","18941","10000","100","161775","19041","1",,,,,,,,"151775","18941","13650621","1379379","13802396","1398320","1","57399","7528","13564812","1370267","13622211","1377795","35","2","12","57399","7528","13662831","1370401","13720230","1377929","35","2","12",,,,,,,,,,"64396","7393","122700","1227","187096","8620","35","2","12",,,,,,,,,,"true","112"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_2.txt","112","16","192528","28688","10000","100","202528","28788","1",,,,,,,,"192528","28688","22609019","2622880","22801547","2651568","1","7561","1486","22625740","2624101","22633301","2625587","40","4","13","7561","1486","22733956","2624569","22741517","2626055","40","4","13",,,,,,,,,,"22774","2075","133600","1336","156374","3411","40","4","13",,,,,,,,,,"true","112"
